"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030133","GO:0030133","transport vesicle","114/4489","367/28618",0.310626702997275,1.98028847992337,8.15243249270497,9.78521093275615e-14,4.80605257260148e-11,2.74859202245754e-11,"Abcc8/Ap1b1/Ap1g1/Ap1g2/Ap1s1/Ap1s2/Ap2a2/Aph1b/App/Atp13a2/Atp6v0a4/Atp6v0c/Atp6v0d1/Atp6v1e1/Atp6v1f/Atp6v1h/Azin2/Bace1/Bcl2l1/Bgn/Bin1/Bloc1s3/Calm3/Ccdc88a/Cdk16/Chp1/Clcn5/Clta/Cltb/Cnst/Cops4/Cops5/Cyp19a1/Dgki/Dmxl2/Dnm1l/Dpysl3/Dtnbp1/Dync1i1/Exoc4/Furin/Gad2/Gria2/Grin1/Grin2b/Hspa8/Ica1/Igf2r/Kif1a/Kirrel3/Klhl12/Lamp1/Lrrk2/Madd/Mal2/Mme/Mylk2/Oprk1/Pebp1/Plekhf2/Ppt1/Ptpn5/Ptprn2/Rab10/Rab11a/Rab13/Rab3c/Sar1b/Scamp1/Sec16a/Sec22b/Sec24b/Sec24c/Sec31a/Sh3gl2/Slc17a8/Slc18a1/Slc18b1/Slc35f1/Slc40a1/Slc6a9/Snap25/Snap29/Snca/Sort1/Sptbn2/Sspn/Ston1/Ston2/Stx16/Stx19/Stx3/Stx6/Sv2a/Sv2b/Sv2c/Syndig1/Synpr/Syt12/Syt17/Syt2/Syt6/Sytl4/Sytl5/Tmed9/Tmem168/Trappc4/Unc13a/Unc13b/Uso1/Vdac2/Vdac3/Yipf1/Yipf2",114
"GO:0150034","GO:0150034","distal axon","120/4489","395/28618",0.30379746835443,1.93675115824618,8.08608665987496,1.26143112141771e-13,4.80605257260148e-11,2.74859202245754e-11,"Actg1/Adora1/Als2/Ang/Ap1s1/Ap3d1/Apbb1/App/Arhgap4/Arpc2/Atp6v0d1/Bin1/Boc/Calm3/Cd2ap/Chrm1/Cib1/Clu/Cnr1/Cplx4/Crtac1/Ctnnd1/Ctsz/Cttn/Cxadr/Cyfip1/Cyp19a1/Dctn2/Dgki/Dixdc1/Dnm2/Dpysl3/Dtnbp1/Elk1/Eno1b/Erc2/Exoc4/Fez1/Fkbp4/Glra1/Got1/Gper1/Gpm6a/Gria2/Gria3/Grik1/Grik2/Grin1/Grin2b/Grip1/Grm7/Hcn1/Hcn3/Hspa8/Iqgap1/Katnb1/Kcna2/Kcna6/Kcnc2/Kif5c/Lrig2/Lrp1/Lrrk2/Map1b/Mapk8ip1/Myh10/Mylk2/Neo1/Nmu/Nrp1/Olfm1/Opn1sw/Oprk1/Orai1/Otx2/P2rx4/Pacsin1/Pak1/Pard3/Pclo/Pebp1/Pink1/Ppp1r2/Ppp2ca/Prkcg/Prnp/Prph/Ptch1/Ptprn2/Rapgef4/Scgn/Scn11a/Sirt1/Slc17a8/Slc18a1/Slc2a13/Slc6a3/Slc8a1/Slc8a3/Slc9a6/Snap25/Snca/Snx18/Srsf10/Stmn2/Stx3/Syap1/Taok2/Tiam1/Tpbg/Trak1/Tshz3/Tspoap1/Tubb3/Tulp1/Unc13a/Unc13b/Wdr47/Zfyve27/Zpr1",120
"GO:0098984","GO:0098984","neuron to neuron synapse","129/4489","446/28618",0.289237668161435,1.84393040486611,7.74787162110936,8.08806215256339e-13,1.41903012960559e-10,8.1154644793026e-11,"Abhd17b/Abhd17c/Abi1/Abi3bp/Abr/Actn2/Adora1/Akap5/Akap9/Als2/Arf1/Arfgap1/Arhgap44/Atp2b2/Aurka/Bace1/Cabp1/Cacna1c/Cacng3/Camk2g/Chd4/Chmp2b/Chmp4b/Chrm1/Clstn2/Cntnap2/Crtc1/Ctnna2/Ctnnd1/Dgki/Dmtn/Dnajb1/Dnajc6/Dnm2/Dst/Dtnbp1/Dynll2/Eef2k/Efnb2/Egln1/Eif4g2/Elavl2/Epha7/Eps8/Exoc4/Fabp5/Fyn/Gper1/Gria2/Gria3/Grid2/Grik1/Grik2/Grin1/Grin2b/Grip1/Grm7/Grn/Hnrnpa3/Homer1/Homer2/Hspa8/Il1rapl1/Iqsec3/Lrfn1/Lrrc4b/Lrrc4c/Lrrtm3/Mal2/Map1b/Map3k7/Mapk8ip2/Nectin3/Neto1/Nrcam/Numb/P2ry1/Pacsin1/Pak1/Pak3/Palm/Pcbp2/Pclo/Pdlim5/Phb2/Pip5k1c/Plcb4/Plxnc1/Prkar1b/Prkcg/Prnp/Rapgef4/Rgs14/Rheb/Rogdi/Rpl12/Rpl18a/Rpl38/Rpl7/Rpl8/Rps13/Rps14/Rps27/Rps27rt/Rps6kc1/Rtn1/Scn8a/Sema3a/Sema4b/Sema4f/Sh3gl2/Shank1/Shisa9/Slc6a9/Slc8a1/Slc8a3/Slitrk3/Sorcs3/Sort1/Srcin1/Stat3/Syndig1/Synpr/Syt12/Tiam1/Tnr/Unc13b/Vhl/Zdhhc2",129
"GO:0032279","GO:0032279","asymmetric synapse","120/4489","405/28618",0.296296296296296,1.88893014199318,7.77119313538969,8.47959286620979e-13,1.41903012960559e-10,8.1154644793026e-11,"Abhd17b/Abhd17c/Abi1/Abi3bp/Abr/Actn2/Adora1/Akap5/Akap9/Als2/Arf1/Arfgap1/Arhgap44/Atp2b2/Aurka/Cabp1/Cacna1c/Cacng3/Camk2g/Chd4/Chmp2b/Chmp4b/Chrm1/Clstn2/Cntnap2/Crtc1/Ctnna2/Ctnnd1/Dgki/Dmtn/Dnajb1/Dnajc6/Dnm2/Dst/Dtnbp1/Dynll2/Eef2k/Efnb2/Egln1/Eif4g2/Elavl2/Epha7/Eps8/Exoc4/Fabp5/Fyn/Gper1/Gria2/Gria3/Grid2/Grik1/Grik2/Grin1/Grin2b/Grip1/Grm7/Grn/Hnrnpa3/Homer1/Homer2/Hspa8/Il1rapl1/Iqsec3/Lrfn1/Lrrc4b/Lrrc4c/Lrrtm3/Map1b/Map3k7/Mapk8ip2/Nectin3/Neto1/Nrcam/Numb/P2ry1/Pacsin1/Pak1/Pak3/Palm/Pcbp2/Pclo/Pdlim5/Phb2/Pip5k1c/Plcb4/Plxnc1/Prkcg/Prnp/Rapgef4/Rgs14/Rheb/Rpl12/Rpl18a/Rpl38/Rpl7/Rpl8/Rps13/Rps14/Rps27/Rps27rt/Rps6kc1/Rtn1/Scn8a/Sema3a/Sema4b/Sema4f/Shank1/Shisa9/Slc6a9/Slc8a1/Slc8a3/Slitrk3/Sorcs3/Sort1/Srcin1/Stat3/Syndig1/Tiam1/Vhl/Zdhhc2",120
"GO:0005874","GO:0005874","microtubule","137/4489","485/28618",0.282474226804124,1.80081252454453,7.67204065851679,1.09976567729359e-12,1.41903012960559e-10,8.1154644793026e-11,"Abraxas2/Akna/Arhgap18/Arhgap4/Arl3/Aspm/Aurka/Aurkb/Bcas3/Birc5/Bod1/Bysl/Calm3/Camsap2/Cct3/Cct5/Cct6a/Cct7/Cep295/Cep57/Cfap20/Cfap52/Chmp2b/Chmp4b/Chmp4c/Clip1/Clip2/Csnk1d/Cul3/Cyld/Daxx/Dctn2/Dnah17/Dnah2/Dnah5/Dnah8/Dnal4/Dnm1l/Dnm2/Dst/Dync1h1/Dync1i1/Dynll1/Dynll2/Dynlrb1/Dysf/Eml1/Eml3/Fbxw11/Fez1/Fkbp4/Grip1/Haus1/Haus2/Haus3/Haus8/Hid1/Hook1/Hspa8/Hsph1/Iqgap1/Katnal1/Katnb1/Kif11/Kif13a/Kif13b/Kif14/Kif16b/Kif17/Kif1a/Kif1c/Kif21a/Kif21b/Kif22/Kif26b/Kif2a/Kif3b/Kif5c/Kif6/Kif9/Kifap3/Kifc2/Klc2/Knstrn/Kntc1/Map1b/Map1lc3a/Map1lc3b/Map2k2/Mapre3/Mid1/Mtcl1/Mx2/Nckap5/Nckap5l/Ninl/Nudc/Pacrg/Pbxip1/Pcnt/Polb/Rab11a/Rassf5/Rcc2/Rgs14/Ror2/Sarm1/Saxo1/Shroom2/Shroom3/Sirt2/Ska2/Slain1/Slc8a1/Slc8a3/Sntb2/Stau2/Sybu/Tcp1/Tcp11l1/Tekt1/Tiam1/Togaram1/Togaram2/Tppp3/Tpt1/Ttl/Ttll5/Tuba4a/Tuba8/Tubb3/Tubb4a/Tubd1/Tubgcp5/Tubgcp6/Wdr44/Wdr47",137
"GO:0099572","GO:0099572","postsynaptic specialization","126/4489","434/28618",0.290322580645161,1.85084687300139,7.70392683343468,1.11734655874456e-12,1.41903012960559e-10,8.1154644793026e-11,"Abhd17b/Abhd17c/Abi1/Abi3bp/Abr/Actn2/Akap1/Akap5/Akap9/Als2/Arf1/Arfgap1/Arhgap44/Atp2b2/Aurka/Cabp1/Cacna1c/Cacng3/Camk2g/Cdh10/Chmp2b/Chmp4b/Chrm1/Chrnb1/Clstn2/Crtc1/Ctnna2/Ctnnd1/Dgki/Dlgap4/Dmtn/Dnajb1/Dnajc6/Dnm2/Dst/Dtnbp1/Dynll2/Eef2k/Efnb2/Egln1/Eif4g2/Epha7/Eps8/Exoc4/Fabp5/Fyn/Gabra4/Gabra5/Gabrg2/Glra1/Gper1/Gria2/Gria3/Grid2/Grik1/Grik2/Grin1/Grin2b/Grip1/Hnrnpa3/Homer1/Homer2/Hspa8/Il1rapl1/Iqsec3/Kcnb1/Lck/Lhfpl4/Lrfn1/Lrrc4b/Lrrc4c/Lrrtm3/Lyn/Map1b/Map3k7/Mapk8ip2/Nectin3/Neto1/Nlgn3/Nrcam/Numb/P2ry1/Pacsin1/Pak1/Pak3/Palm/Pcbp2/Pclo/Pdlim5/Phb2/Pip5k1c/Plcb4/Prkcg/Prnp/Rapgef4/Rgs14/Rheb/Rpl12/Rpl18a/Rpl38/Rpl7/Rpl8/Rps13/Rps14/Rps27/Rps27rt/Rps6kc1/Rtn1/Scn8a/Sema4b/Sema4f/Shank1/Shisa9/Slc6a9/Slc8a1/Slc8a3/Slitrk3/Sorcs3/Srcin1/Srgn/Stat3/Syndig1/Tiam1/Vhl/Zdhhc2/Zdhhc5",126
"GO:0031252","GO:0031252","cell leading edge","121/4489","419/28618",0.288782816229117,1.84103066046889,7.48030281386075,4.61203132178884e-12,4.5825316144129e-10,2.62075989552002e-10,"Abi1/Abi3bp/Abl2/Actn1/Actr3/Adora1/Ajuba/Akap5/Als2/Amotl1/Ank1/Antxr1/Anxa2/Apbb1/App/Appl1/Arf1/Arf4/Arhgap18/Arhgap31/Arhgap44/Arpc2/Atp2b2/Bcar1/Bcas3/Ccdc88a/Cd2ap/Cdc42/Cdc42bpa/Cdk6/Cib1/Cntnap2/Coro1a/Coro1c/Ctnna1/Ctnna2/Ctnnd1/Cttn/Cyfip1/Dag1/Diaph1/Dnm2/Dpp4/Dpysl3/Dst/Dysf/Eps8/Eps8l1/Eps8l3/Exoc4/Ezr/Fgd2/Fignl2/Flot1/Frmd4b/Gabra4/Gabra5/Gabrg2/Gabrg3/Gper1/Gria2/Grin1/Hax1/Hcn1/Inpp5e/Iqgap1/Itgb5/Kank1/Kcna2/Kcnb1/Kcnc2/Kcnh1/Knstrn/Kptn/Lcp1/Mapk8ip3/Mcf2l/Mtm1/Mtmr14/Myh10/Myo10/Myo1c/Nme1/Pacsin1/Pak1/Palm/Pdxp/Pik3ca/Pip5k1a/Plce1/Pld1/Plekhh2/Prkci/Ptk2/Ptk6/Rab13/Rdx/Ripor2/Rnh1/Scyl3/Sgce/Shisa9/Slk/Snap25/Spata13/Sra1/Srcin1/Stmn2/Ston1/Stx3/Stx4a/Stxbp2/Tiam1/Tirap/Tln1/Tln2/Tmod3/Tubb3/Vil1/Vim/Wwc1",121
"GO:0098791","GO:0098791","Golgi apparatus subcompartment","100/4489","324/28618",0.308641975308642,1.96763556457623,7.55534578292207,4.81105681303192e-12,4.5825316144129e-10,2.62075989552002e-10,"Akap9/Ap1b1/Ap1g1/Ap1g2/Ap1s1/Ap1s2/Ap3d1/Ap3s1/Ap4e1/Arf1/Arfip1/Arfrp1/Atp7b/Atp8b1/Atp9b/Azin2/B3galt6/B4galnt3/Bace1/Ccdc186/Cd2ap/Chst1/Chsy1/Cltb/Cnst/Cpd/Csgalnact1/Dnm2/Ece2/Fam91a1/Furin/Gcc2/Gcnt1/Gh/Golga5/Gper1/Gpr108/Grn/Hid1/Ica1/Ift88/Igf2r/Kif13a/Lrba/Lrrk2/Mbtps1/Mgat4a/Mme/Ms4a6b/Ms4a6c/Ms4a7/Myo18a/Myo1b/Nbea/Nmnat2/Nsf/Nucb2/Optn/Pclo/Pi4k2b/Pld1/Plekha3/Postn/Prkd1/Rab10/Rab11a/Rab11fip3/Rab13/Rab29/Rab30/Rab7b/Scamp1/Scamp2/Scamp3/Sgms1/Slc11a2/Slc30a7/Smpd3/Snap25/St3gal1/St6gal1/Stx16/Stx4a/Stx6/Stx8/Syt17/Tgfb2/Tmbim4/Tmem165/Trappc4/Trappc6b/Trappc9/Uso1/Vps13b/Wipi1/Xylt1/Yipf1/Yipf2/Yipf6/Zfyve1",100
"GO:0000139","GO:0000139","Golgi membrane","90/4489","281/28618",0.320284697508897,2.04185953961007,7.57011697282615,5.8569372714679e-12,4.95887355650949e-10,2.83599067881604e-10,"Abca6/Abcb11/Abcb1b/Acer2/Actr3/Aph1b/Arf1/Arf4/Arfgap1/Arfip1/B3galnt2/B3galt1/B3galt5/B3galt6/B3gat2/B4galnt1/B4galt4/Blzf1/Cabp1/Cav1/Cdc42/Chp1/Chst1/Chst10/Copg1/Creb3/Creb3l1/Creb3l2/Dnm1l/Dnm2/Entpd4/Fam20c/Furin/Fut11/Gabarapl2/Gbp5/Golga5/Golim4/Hace1/Hid1/Ica1/Inpp5e/Lman2l/Man1a2/Man1c1/Manea/Mapk8ip3/Mbtps1/Mmd2/Mmgt2/Ndfip1/Nlrp3/Pdcd10/Pgap2/Pi4k2b/Pitpnb/Pla2g4a/Prkce/Ptges2/Qsox1/Rab11a/Rab11fip3/Rhbdd2/Rheb/Ric1/Rnf121/Rnf125/Rtn1/Scamp3/Scyl3/Sec22b/Sgms1/Sgms2/Slc39a13/Sptbn2/Srgn/St3gal2/St6gal1/Stk25/Stx5a/Tpst1/Uso1/Vps13b/Wscd1/Xylt1/Zdhhc13/Zdhhc17/Zdhhc19/Zdhhc20/Zdhhc9",90
"GO:0005819","GO:0005819","spindle","109/4489","368/28618",0.296195652173913,1.88828852170039,7.39751622331864,9.52403111218257e-12,7.25731170748312e-10,4.15047250573009e-10,"Aaas/Abraxas2/Akt1/Anapc5/App/Arl3/Aspm/Aurka/Aurkb/Birc5/Bod1/Calm3/Cdc14a/Cdc42/Cdc6/Cdc7/Cenpf/Cep19/Cep295/Cetn1/Chmp2b/Chmp4b/Chmp4c/Ckap2l/Cntrl/Csnk1d/Cttn/Cul3/Cyld/Diaph1/Dlgap5/Dr1/Dync1i1/Dynll1/Eml1/Eml3/Ercc2/Espl1/Fbf1/Haus1/Haus2/Haus3/Haus8/Hmmr/Ikbkg/Jtb/Kat2a/Katnal1/Katnb1/Katnbl1/Kif11/Kif14/Kif16b/Kif22/Kif2a/Kifap3/Kifc2/Knstrn/Kntc1/Limk2/Mad2l1/Mapre3/Mbip/Mms19/Mtcl1/Myh10/Ncor1/Npm1/Nsfl1c/Nsl1/Nudc/Nudcd2/Pard3/Phlpp2/Pkhd1/Pmf1/Poc1b/Polb/Poldip2/Rab11a/Racgap1/Rangap1/Rcc2/Rgs14/Rock2/Rps6ka1/Rps6ka2/Sbds/Sirt2/Ska2/Slc25a5/Smc3/Smc6/Spice1/Tbck/Tbl1x/Tbl1xr1/Tmem9/Tpt1/Ttc28/Ttl/Tubb3/Tubb4a/Tubgcp5/Tubgcp6/Ubxn2b/Vps4b/Wdr62/Zzz3",109
"GO:0061695","GO:0061695","transferase complex, transferring phosphorus-containing groups","88/4489","277/28618",0.317689530685921,2.02531498979053,7.39616853720246,1.63336331710624e-11,1.13147531603178e-09,6.47093218451659e-10,"Acvr1c/Acvr2a/Akap14/Atg14/Brd4/Ccna2/Ccnb2/Ccnb3/Ccnd3/Ccnf/Ccnt2/Cdk14/Cdk16/Cdk2/Cdk4/Cdk6/Cdk9/Cdkn1a/Csnk2b/Ctr9/Eny2/Ercc2/Gtf2a1/Gtf2a1l/Gtf2b/Gtf2e1/Igf1r/Ikbkb/Ikbkg/Kat2a/Las1l/Map3k5/Mnat1/Nek10/Paf1/Pard3/Pfkl/Pfkm/Pfkp/Phka1/Phkb/Phkg1/Pik3ca/Pik3cd/Pik3r1/Pik3r4/Pik3r5/Pklr/Polr1a/Polr1b/Polr1d/Polr1e/Polr2c/Polr2f/Polr2j/Polr3a/Polr3f/Prim1/Prim2/Primpol/Prkaa1/Prkab1/Prkab2/Prkag1/Prkar1b/Prkar2a/Prkci/Prkdc/Prps1l3/Prpsap1/Prpsap2/Psmc5/Rb1cc1/Rpap1/Sesn2/Smcr8/Socs6/Stradb/Taf1/Taf12/Taf5l/Taf9/Tbc1d5/Tbpl1/Tert/Usp22/Xrcc5/Znfx1",88
"GO:0014069","GO:0014069","postsynaptic density","111/4489","382/28618",0.290575916230366,1.85246192262879,7.23472914919695,2.29085734323714e-11,1.45469441295559e-09,8.31942929912436e-10,"Abhd17b/Abhd17c/Abi1/Abi3bp/Abr/Actn2/Akap5/Akap9/Als2/Arf1/Arfgap1/Arhgap44/Atp2b2/Aurka/Cabp1/Cacna1c/Cacng3/Camk2g/Chmp2b/Chmp4b/Chrm1/Clstn2/Crtc1/Ctnna2/Ctnnd1/Dgki/Dmtn/Dnajb1/Dnajc6/Dnm2/Dst/Dtnbp1/Dynll2/Eef2k/Efnb2/Egln1/Eif4g2/Epha7/Eps8/Exoc4/Fabp5/Fyn/Gper1/Gria2/Gria3/Grid2/Grik1/Grik2/Grin1/Grin2b/Grip1/Hnrnpa3/Homer1/Homer2/Hspa8/Il1rapl1/Iqsec3/Lrfn1/Lrrc4b/Lrrc4c/Lrrtm3/Map1b/Map3k7/Mapk8ip2/Nectin3/Neto1/Nrcam/Numb/P2ry1/Pacsin1/Pak1/Pak3/Palm/Pcbp2/Pclo/Pdlim5/Phb2/Pip5k1c/Plcb4/Prkcg/Prnp/Rapgef4/Rgs14/Rheb/Rpl12/Rpl18a/Rpl38/Rpl7/Rpl8/Rps13/Rps14/Rps27/Rps27rt/Rps6kc1/Rtn1/Scn8a/Sema4b/Sema4f/Shank1/Shisa9/Slc6a9/Slc8a1/Slc8a3/Slitrk3/Sorcs3/Srcin1/Stat3/Syndig1/Tiam1/Vhl/Zdhhc2",111
"GO:0045211","GO:0045211","postsynaptic membrane","103/4489","353/28618",0.291784702549575,1.86016810371213,7.01396161460101,9.13522749491781e-11,5.35464873163644e-09,3.06233537076597e-09,"Abhd17b/Abhd17c/Actn2/Adora1/Adra1a/Akap1/Akap9/Ank1/Apbb1/Atp2b2/Cacna1c/Cacna1e/Cacna2d1/Cacng3/Cdh10/Chrm1/Chrnb1/Chrng/Clstn2/Cnih3/Cntn1/Cntn2/Col13a1/Cspg5/Ctnna2/Dag1/Dgki/Dnm2/Dtnbp1/Efnb2/Epha7/Erbb3/Faim2/Farp1/Fbxo2/Fxyd6/Gabbr2/Gabra4/Gabra5/Gabrg2/Gabrg3/Gabrq/Glra1/Gper1/Gpr158/Gpr179/Gria2/Gria3/Grid2/Grik1/Grik2/Grin1/Grin2b/Grip1/Grm7/Hcn1/Hip1/Hspa8/Htr2a/Il1rapl1/Iqsec3/Kcna2/Kcnb1/Kcnc2/Kcnh1/Kcnn2/Lhfpl4/Lrfn1/Lrrc4b/Lrrc4c/Lrrtm3/Met/Nbea/Nectin3/Neto1/Nlgn3/Nrcam/Nrp1/Oprk1/P2ry1/Pacsin1/Pcdh17/Pcdhb16/Rgs7/Scn8a/Sema4b/Sema4f/Shank1/Shisa9/Slc6a1/Slc6a3/Slc6a4/Slc6a9/Slc8a1/Slc8a3/Slitrk3/Sorcs3/Sspn/Stx4a/Syap1/Syndig1/Tiam1/Trappc4",103
"GO:0043292","GO:0043292","contractile fiber","76/4489","245/28618",0.310204081632653,1.97759420988266,6.62836211735223,1.28929338879376e-09,6.86041137889715e-08,3.92348433604561e-08,"Abra/Actc1/Actg1/Actn1/Actn2/Adra1a/Ak1/Aldoa/Ank1/Ankrd1/Arf1/Atp2b4/Bin1/Cacna1c/Calm3/Capn3/Casq1/Cryab/Cst3/Dag1/Des/Dst/Fbxl22/Fbxo32/Fhl3/Fhl5/Fkbp1b/Fxr1/Ggps1/Glrx3/Grin2b/Habp4/Hdac4/Homer1/Jup/Kcnj8/Kcnn2/Klhl41/Mef2c/Mtm1/Mybpc1/Mybph/Mybphl/Myh11/Myh2/Myh3/Myh7/Myh7b/Myl12a/Myl2/Myl4/Myl9/Myom1/Myoz2/Pak1/Pdlim1/Pdlim2/Pdlim5/Pgm5/Plec/Ppp1r12b/Prkd1/Psma6/Pyroxd1/Rpl7/Scn5a/Scn8a/Slc8a1/Stub1/Timp4/Tmod1/Tmod3/Tmod4/Tnni1/Ttn/Xirp2",76
"GO:0030016","GO:0030016","myofibril","73/4489","232/28618",0.314655172413793,2.00597053333436,6.63581615824072,1.35047468088527e-09,6.86041137889715e-08,3.92348433604561e-08,"Abra/Actc1/Actg1/Actn1/Actn2/Adra1a/Ak1/Aldoa/Ank1/Ankrd1/Arf1/Atp2b4/Bin1/Cacna1c/Calm3/Capn3/Casq1/Cryab/Dag1/Des/Dst/Fbxl22/Fbxo32/Fhl3/Fhl5/Fkbp1b/Fxr1/Ggps1/Glrx3/Grin2b/Habp4/Hdac4/Homer1/Jup/Kcnj8/Kcnn2/Klhl41/Mef2c/Mtm1/Mybpc1/Mybph/Mybphl/Myh2/Myh7/Myh7b/Myl12a/Myl2/Myl4/Myl9/Myom1/Myoz2/Pak1/Pdlim1/Pdlim2/Pdlim5/Pgm5/Plec/Ppp1r12b/Prkd1/Psma6/Pyroxd1/Rpl7/Scn5a/Scn8a/Slc8a1/Stub1/Timp4/Tmod1/Tmod3/Tmod4/Tnni1/Ttn/Xirp2",73
"GO:0030426","GO:0030426","growth cone","68/4489","211/28618",0.322274881516588,2.05454723975088,6.63150000100284,1.60302287699787e-09,7.24311097311807e-08,4.14235107455571e-08,"Als2/Ang/Apbb1/App/Arhgap4/Arpc2/Boc/Calm3/Cd2ap/Cib1/Clu/Cnr1/Crtac1/Ctnnd1/Ctsz/Cttn/Cxadr/Cyfip1/Dctn2/Dnm2/Dpysl3/Dtnbp1/Eno1b/Erc2/Exoc4/Fez1/Fkbp4/Gpm6a/Gria2/Grin1/Iqgap1/Katnb1/Kif5c/Lrig2/Lrp1/Lrrk2/Map1b/Mapk8ip1/Myh10/Neo1/Nrp1/Olfm1/Orai1/Otx2/Pak1/Pard3/Pclo/Pink1/Ppp1r2/Ptch1/Rapgef4/Scn11a/Sirt1/Slc2a13/Snap25/Snca/Snx18/Stmn2/Stx3/Syap1/Taok2/Tiam1/Trak1/Tshz3/Tubb3/Wdr47/Zfyve27/Zpr1",68
"GO:0070382","GO:0070382","exocytic vesicle","84/4489","282/28618",0.297872340425532,1.89897764274847,6.54366964644966,1.61591714623369e-09,7.24311097311807e-08,4.14235107455571e-08,"Abcc8/Ap2a2/App/Atp6v0a4/Atp6v0c/Atp6v0d1/Atp6v1e1/Atp6v1f/Atp6v1h/Bace1/Bcl2l1/Bin1/Calm3/Cdk16/Clcn5/Clta/Cltb/Cops4/Cops5/Cyp19a1/Dgki/Dmxl2/Dnm1l/Dpysl3/Dtnbp1/Exoc4/Gad2/Gria2/Grin1/Grin2b/Hspa8/Ica1/Kif1a/Kirrel3/Lamp1/Lrrk2/Madd/Mal2/Mme/Mylk2/Oprk1/Pebp1/Ppt1/Ptpn5/Ptprn2/Rab10/Rab13/Rab3c/Scamp1/Sec22b/Sh3gl2/Slc17a8/Slc18a1/Slc18b1/Slc35f1/Slc40a1/Slc6a9/Snap25/Snap29/Snca/Sptbn2/Ston1/Ston2/Stx16/Stx19/Stx3/Stx6/Sv2a/Sv2b/Sv2c/Syndig1/Synpr/Syt12/Syt17/Syt2/Syt6/Sytl4/Sytl5/Tmed9/Trappc4/Unc13a/Unc13b/Vdac2/Vdac3",84
"GO:0008021","GO:0008021","synaptic vesicle","79/4489","260/28618",0.303846153846154,1.93706153503436,6.54687695622807,1.79138838494162e-09,7.58354416291954e-08,4.33704556354288e-08,"Abcc8/Ap2a2/App/Atp6v0a4/Atp6v0c/Atp6v0d1/Atp6v1e1/Atp6v1f/Atp6v1h/Bace1/Bcl2l1/Bin1/Calm3/Cdk16/Clcn5/Clta/Cltb/Cops4/Cops5/Cyp19a1/Dgki/Dmxl2/Dnm1l/Dtnbp1/Exoc4/Gad2/Gria2/Grin1/Grin2b/Hspa8/Ica1/Kif1a/Kirrel3/Lamp1/Lrrk2/Madd/Mal2/Mme/Mylk2/Oprk1/Pebp1/Ppt1/Ptpn5/Ptprn2/Rab10/Rab13/Rab3c/Scamp1/Sec22b/Sh3gl2/Slc17a8/Slc18a1/Slc18b1/Slc35f1/Slc40a1/Slc6a9/Snap25/Snap29/Snca/Sptbn2/Ston1/Ston2/Stx16/Stx19/Stx3/Stx6/Sv2a/Sv2b/Sv2c/Syndig1/Synpr/Syt12/Syt2/Tmed9/Trappc4/Unc13a/Unc13b/Vdac2/Vdac3",79
"GO:0005802","GO:0005802","trans-Golgi network","78/4489","256/28618",0.3046875,1.9424252339051,6.5330450821272,1.9676704199994e-09,7.89139400020813e-08,4.51310556166068e-08,"Ap1b1/Ap1g1/Ap1g2/Ap1s1/Ap1s2/Ap3d1/Ap3s1/Ap4e1/Arf1/Arfip1/Arfrp1/Atp7b/Atp8b1/Atp9b/Azin2/Bace1/Ccdc186/Cd2ap/Chst1/Cltb/Cnst/Cpd/Dnm2/Ece2/Fam91a1/Furin/Gcc2/Gcnt1/Gh/Gper1/Gpr108/Grn/Ift88/Igf2r/Kif13a/Lrba/Lrrk2/Mme/Ms4a6b/Ms4a6c/Ms4a7/Myo18a/Myo1b/Nbea/Nmnat2/Optn/Pclo/Pi4k2b/Plekha3/Postn/Prkd1/Rab10/Rab11a/Rab11fip3/Rab13/Rab29/Rab30/Rab7b/Scamp1/Scamp2/Scamp3/Slc11a2/Snap25/St3gal1/Stx16/Stx4a/Stx6/Stx8/Syt17/Tgfb2/Tmem165/Trappc6b/Trappc9/Vps13b/Wipi1/Yipf1/Yipf2/Yipf6",78
"GO:0043209","GO:0043209","myelin sheath","67/4489","208/28618",0.322115384615385,2.05353042479908,6.57749195298756,2.15441211263321e-09,8.20831014913254e-08,4.69435060331658e-08,"Actg1/Actr1a/Aldoa/Anxa2/Atp1a2/Bcl2/Calm3/Cct3/Cct5/Cdc42/Cntn1/Cntn2/Cox5a/Cryab/Cycs/Dlat/Dlst/Ehd3/Exoc4/Ezr/Gjc2/Gnao1/Gnb5/Got2/Gpm6b/Hspa5/Hspa8/Hspa9/Idh3a/Igsf8/Immt/Jam3/Marveld2/Mdh1/Mog/Msn/Napg/Ncmap/Ndufv2/Nme1/Nsf/Pacsin1/Pard3/Pebp1/Pitpna/Plec/Pllp/Plp1/Prdx3/Prkci/Rdx/Sirt2/Slc25a5/Snap25/Stx4a/Stxbp1/Sucla2/Tagln3/Tcp1/Tubb4a/Tufm/Uba52/Ubb/Uchl1/Uqcrc1/Uqcrfs1/Vdac2",67
