"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140694","GO:0140694","non-membrane-bounded organelle assembly","133/4447","414/28905",0.321256038647343,2.08812813067269,9.50885950895176,8.39441590459418e-18,5.34052739850282e-14,3.4549648617856e-14,"Aaas/Abraxas1/Abraxas2/Actc1/Actg1/Actn2/Arpc2/Aspm/Aurka/Aurkb/Bin2/Birc5/C2cd3/Capn3/Casq1/Ccdc78/Ccnb2/Ccp110/Cdk2/Cenpa/Cep192/Cep295/Cep97/Cetn1/Cflar/Chmp2b/Chmp4b/Chmp4c/Cnot6/Csnk1d/Dcaf13/Dhx37/Dlgap5/Dock5/Drg1/Dync1h1/Edn1/Eif2s1/Eif5/Eif5b/Eml3/Ezr/Farp2/Flii/Fxr1/G3bp1/Gtf2b/Haus1/Haus2/Haus3/Haus8/Hck/Jmjd6/Kat2a/Kif11/Kif2a/Kif3b/Kif9/Kifc2/Klhl41/Kntc1/Lcp1/Limd1/Lsm3/Mapre3/Mdn1/Mef2c/Mfn2/Mlh1/Msn/Mterf3/Mybpc1/Mybph/Myh10/Myh7/Myl2/Myl9/Mylk3/Myom1/Myoz2/Nbdy/Ncor1/Noct/Nop2/Npm1/Ogfod1/Patl2/Pdgfra/Pgm5/Plec/Poc1b/Poldip2/Prkaa1/Prkd1/Prkdc/Prox1/Pum2/Rab11a/Racgap1/Ripor2/Rpl10/Rpl24/Rpl38/Rps14/Rps15/Rps23/Rps27/Rps6/Rttn/Sass6/Sbds/Smc3/Spice1/Sqle/Sqstm1/Stil/Sugt1/Tia1/Tmod1/Tmod3/Tmod4/Trim37/Ttn/Tubgcp5/Tubgcp6/Uhrf1/Usp10/Vil1/Vps4b/Wdr62/Xrcc5/Ythdf1/Zfyve1",133
"GO:0051656","GO:0051656","establishment of organelle localization","151/4447","498/28905",0.303212851405622,1.97084944229357,9.31871307412097,1.86590344280384e-17,5.93543885155901e-14,3.83983287440158e-14,"Abraxas1/Abraxas2/Ap1s2/Ap3d1/Ap3s1/Arf1/Arhgap21/Atp13a2/Aurkb/Birc5/Bloc1s3/Borcs7/Brca2/Bub3/Ccdc186/Cdc42/Cdc42bpa/Cenpa/Cenpf/Cep19/Cep83/Chmp2b/Chmp4b/Chmp4c/Chp1/Clmn/Copg1/Cops5/Cul3/Dctn2/Dnm1l/Dnm2/Dock7/Dtnbp1/Dync1h1/Dync1i1/Dynll1/Eml3/Exoc4/Exoc6/Exoc6b/Eya1/Ezr/Fam91a1/Fbxw11/Fes/Fez1/Fyco1/Gata1/Hhex/Hif1a/Ikbkg/Il4/Insc/Kif13a/Kif14/Kif1a/Kif1c/Kif22/Kif5c/Klhl12/Knstrn/Kxd1/Lamp1/Limk2/Lmnb1/Lrrk2/Lsg1/Ltv1/Lyn/Mad2l1/Madd/Map1b/Mdn1/Mlh1/Mos/Mreg/Mrgprx2/Ms4a2/Myh10/Mylk2/Myo1c/Myo5b/Nectin2/Npm1/Nppa/Nr4a3/Nsfl1c/Nsl1/Ntn1/Nudc/Pard3/Pax6/Pclo/Pdcd10/Pkd1/Pkhd1/Pmf1/Ptgds/Ptk2/Rab11a/Rab3gap1/Racgap1/Ran/Rasgrp1/Rbm10/Rcc2/Rhot1/Rps15/Sar1b/Scn11a/Sec16a/Shroom2/Sirt1/Sirt2/Ska2/Slit1/Smpd3/Snap25/Snca/Snf8/Spc24/Spice1/Spire2/Stam/Steap3/Stk25/Stxbp1/Stxbp2/Sybu/Syne3/Syt6/Tacc2/Tesk1/Tex14/Tmed9/Trak1/Trappc10/Trappc4/Trappc5/Trappc6b/Trappc9/Ttl/Ubb/Ubxn2b/Uchl1/Unc13a/Unc13b/Vps4b/Wipi1/Zwint",151
"GO:0034329","GO:0034329","cell junction assembly","139/4447","487/28905",0.285420944558522,1.85520404822668,8.11595335465283,7.15652909486796e-14,1.51766127005166e-10,9.81825570559078e-11,"Abi3bp/Ace2/Actg1/Actn1/Actn2/Actr3/Ajuba/Akap5/Amigo1/Aplnr/App/Arhgap6/Bcl2/Capza1/Cav1/Cbln2/Cbln4/Cdc42/Cdh10/Cdh12/Cdh20/Chd4/Cldn16/Clstn2/Cntn5/Cntnap2/Coro1c/Coro2b/Crk/Ctnna1/Cttn/Dkk1/Dmtn/Dock7/Dst/Eef2k/Efnb2/Elavl2/Epha3/Epha7/Ephb1/Farp1/Fbf1/Fermt2/Flot1/Flrt1/Gabra4/Gabra5/Gabrg2/Gabrg3/Gjb2/Gjb6/Gjc1/Gpbar1/Gpc4/Gpm6a/Gpm6b/Grem1/Grid2/Grin1/Ikbkb/Il1rapl1/Iqgap1/Jam3/Jup/Kcnj8/Kdr/Kirrel3/Lamc1/Lhfpl4/Lrfn1/Lrp1/Lrrc4b/Lrrn1/Lrrtm3/Lrtm1/Marveld2/Marveld3/Mdga2/Mef2c/Mycbp2/Myo1c/Nedd4l/Nlgn3/Nphs1/Nrg3/Nrp1/Ntn1/Ntng2/Numb/Numbl/Pard3/Patj/Pcdh17/Pcdhb16/Pclo/Pdlim5/Peak1/Pik3r1/Pip5k1a/Plec/Poldip2/Prkch/Ptk2/Ptpn11/Ptpra/Rab13/Rab29/Ramp2/Rap2a/Rapgef1/Rcc2/Rhod/Rock2/Rps6/S100a10/Samt3/Sdk2/Sema4d/Setd5/Slc25a46/Slit2/Slitrk3/Slk/Smad3/Snca/Sptbn2/Srcin1/Srpx2/Stau2/Ston1/Syndig1/Taok2/Tbx5/Tek/Tln1/Tpbg/Ube2v2/Zdhhc2",139
"GO:0072659","GO:0072659","protein localization to plasma membrane","101/4447","317/28905",0.318611987381703,2.07094209473086,8.17533960668507,1.30056270800682e-13,2.06854498708485e-10,1.33821057587018e-10,"Acsl3/Actn2/Actr3/Adcy6/Akap5/Akt1/Ank1/Anxa2/Appl1/Ar/Arfrp1/Arhgap44/Atp2b4/Bcl2l1/Blzf1/Cacnb2/Cacnb3/Camk2g/Ccdc88a/Cib1/Cnst/Dpp10/Efr3a/Ehd2/Ehd3/Ehd4/Epha3/Ezr/Flot1/Frmd8/Gorasp1/Gper1/Gpr158/Gpr179/Grip1/Gripap1/Ikbkb/Jup/Kcnb1/Kif13a/Lrp1/Lypd1/Myl12a/Myo5b/Nectin3/Nsf/Numb/Optn/P2ry1/Pacs1/Pacsin1/Palm/Pgap2/Pgrmc1/Pid1/Pik3r1/Pip5k1a/Ppfia1/Ppil2/Prkci/Prnp/Prph2/Ptch1/Ptpn9/Rab10/Rab11a/Rab13/Rab3c/Rack1/Ramp2/Rap2a/Rapgef6/Rdx/Rhog/Rilpl2/Rock2/S100a10/Scp2/Sec16a/Sesn2/Sirt6/Smurf1/Sqstm1/Stac2/Stx3/Stx4a/Stx8/Stxbp1/Tpbg/Tspan33/Tspan5/Ttc7b/Vil1/Wdr59/Wdr72/Wnk4/Zdhhc2/Zdhhc4/Zdhhc5/Zdhhc7/Zfyve27",101
"GO:0022411","GO:0022411","cellular component disassembly","139/4447","496/28905",0.280241935483871,1.82154107154515,7.86944697949888,3.30191036082955e-13,4.20135074311952e-10,2.71799358123022e-10,"Abcc8/Actn2/Acvr1c/Adamts15/Adamts5/Akap5/Arhgef1/Arid1a/Arpc2/Ascc3/Atg10/Atg14/Atg4d/Aurka/Blcap/Bnip3l/Camsap2/Capza1/Chmp2b/Chmp4b/Chmp4c/Cib1/Cisd2/Clec16a/Cst3/Cttn/Ddr2/Dmtn/Dnajc6/Dnase1l3/Dnm1l/Dpp4/Dstn/Dysf/Eef2k/Eif2d/Elac1/Eps8/Exog/Fis1/Fkbp8/Flii/Flot1/Frat1/Fyco1/Gabarapl2/Gper1/Grwd1/Hif1a/Hspa8/Igf1r/Il6/Jmjd4/Katnb1/Kif9/Klhdc10/Lamc1/Lcp1/Lrba/Map1b/Map1lc3a/Map1lc3b/Mcoln1/Mfn2/Mfsd8/Mical2/Mid1/Mrrf/Mtpn/Nckap5/Nckap5l/Nemp1/Nsf/Ogfod1/Optn/Parl/Pbxip1/Pdxp/Pelo/Pex5/Phb2/Pik3ca/Pik3r1/Pik3r4/Pink1/Plekhh2/Plg/Plin2/Plxnc1/Prkaa1/Rack1/Rb1cc1/Rchy1/Rdx/Retreg2/Rnf41/Rubcn/Sh3gl2/Shroom2/Slc25a46/Slc25a5/Smarcc1/Smarcd1/Smcr8/Smurf1/Snap29/Snx14/Snx7/Specc1l/Sqstm1/Stmn2/Stmn3/Ston1/Stx17/Stx5a/Tcf25/Tecpr1/Tgfb2/Tigar/Tmem39a/Tmod1/Tmod3/Tmod4/Top2a/Trp53/Ttbk2/Uba5/Ufc1/Ulk2/Usp10/Vil1/Vps13c/Vps33a/Vps4b/Wdr47/Wdr72/Wipi1/Wipi2/Zfand1",139
"GO:0010639","GO:0010639","negative regulation of organelle organization","116/4447","390/28905",0.297435897435897,1.9332998910242,7.91259430898695,4.14614264554865e-13,4.39629325183008e-10,2.84410837615705e-10,"Acd/Adck1/Akt1/Anapc15/Arhgap6/Arhgef18/Arpc2/Aurkb/Bcl2l1/Birc5/Bub3/Camsap2/Capza1/Ccnf/Ccp110/Cep192/Cep97/Chek1/Cib1/Clec16a/Coro1a/Coro2b/Ctc1/Ctnna2/Dmtn/Dnm1l/Dnm2/Dysf/Eps8/Ercc4/Fez1/Fez2/Fkbp4/Flii/Gmfb/Hnrnpc/Ier3/Kank1/Kank2/Kat2a/Katnb1/Kntc1/Limk2/Lrrk2/Mad2l1/Map1b/Mcm2/Met/Mfn1/Mfn2/Mid1/Mkks/Mnat1/Mtbp/Mtm1/Mtpn/Naa10/Nat10/Nbdy/Npm1/Nupr1/Oma1/Parl/Patl2/Pif1/Pik3ca/Pik3r1/Pink1/Plekhh2/Ppargc1a/Ppfia1/Prap1/Prkcd/Psmg2/Rad21/Rdx/Rnf41/Rps6ka2/S1pr1/Sec22b/Shank1/Shroom2/Slc25a31/Slc25a5/Slc35f6/Slit2/Smcr8/Snca/Spc24/Specc1l/Stmn2/Tbc1d30/Ten1/Terf2/Tesk1/Tex14/Tfrc/Tigar/Tmeff2/Tmem39a/Tmod1/Tmod3/Tmod4/Tmsb4x/Tom1l1/Top2a/Trim37/Trp53/Ttbk2/Tubb4a/Usp10/Usp44/Vil1/Wdr44/Wdr47/Zwint",116
"GO:1901888","GO:1901888","regulation of cell junction assembly","83/4447","247/28905",0.336032388663968,2.18417274439667,7.96971272231371,8.11333905801989e-13,7.37386615530322e-10,4.77039935591846e-10,"Abi3bp/Ace2/Actg1/Actr3/Amigo1/Aplnr/App/Arhgap6/Cav1/Cbln2/Chd4/Clstn2/Cntnap2/Coro1c/Dkk1/Dmtn/Eef2k/Elavl2/Epha3/Epha7/Ephb1/Farp1/Fermt2/Flot1/Flrt1/Gpbar1/Gpc4/Gpm6b/Grem1/Grid2/Grin1/Ikbkb/Il1rapl1/Iqgap1/Kdr/Lhfpl4/Lrfn1/Lrp1/Lrrc4b/Lrrn1/Lrrtm3/Lrtm1/Mdga2/Mef2c/Mycbp2/Myo1c/Nedd4l/Nlgn3/Nrp1/Ntn1/Ntng2/Numb/Numbl/Pdlim5/Peak1/Pik3r1/Poldip2/Prkch/Ptk2/Ptpn11/Ptpra/Rap2a/Rapgef1/Rcc2/Rhod/Rock2/Rps6/S100a10/Sema4d/Setd5/Slit2/Slitrk3/Slk/Smad3/Snca/Srcin1/Srpx2/Stau2/Syndig1/Tbx5/Tek/Tpbg/Ube2v2",83
"GO:0034248","GO:0034248","regulation of amide metabolic process","124/4447","432/28905",0.287037037037037,1.86570846763111,7.73034707986821,1.0297061313567e-12,8.18873800961418e-10,5.29756707053251e-10,"Abcf1/Abcg1/Ajuba/Akt1/Ang/App/Bin1/Casc3/Cdk4/Clu/Cnot10/Cnot6/Cnot8/Cnot9/Cpeb2/Ctif/Cyfip1/Cyp1b1/Dazl/Ddx25/Dhx36/Dnajc1/Eef2/Eef2k/Eif2ak2/Eif2b5/Eif2s1/Eif3k/Eif4ebp2/Eif4g2/Eif4g3/Eif5/Eif5b/Enc1/Ern1/Fxr1/Fxr2/Gemin5/Guf1/Habp4/Igf2bp2/Igf2bp3/Igfbp5/Il6/Inpp5e/Ireb2/Jmjd4/Khdrbs1/Larp1/Larp4/Larp6/Limd1/Lin28a/Lrrtm3/Magoh/Mettl14/Mettl3/Mettl8/Mknk1/Mrpl13/Nanos1/Nat10/Nmnat2/Nolc1/Npm1/Nsun3/Ogfod1/Otud6b/Pa2g4/Padi6/Paip2/Parp16/Patl2/Pdik1l/Pelo/Per1/Pink1/Piwil2/Pld1/Poldip3/Ppp1ca/Prkcd/Prkch/Prkdc/Prnp/Ptbp1/Pum2/Pus7/Rack1/Rbm4/Rbm4b/Rbms3/Rela/Rgs2/Rida/Rock2/Rpl10/Rpl38/Rps6kb1/Rps6kb2/Rptor/Rtn1/Sepsecs/Sesn2/Slc2a13/Smpd3/Snca/Sp1/Spon1/Srp9/Syncrip/Tia1/Tigar/Trap1/Trim3/Trnau1ap/Trp53/Trub2/Tyms/Uhmk1/Upf3a/Ythdf1/Zcchc13/Zfp750",124
"GO:1990778","GO:1990778","protein localization to cell periphery","117/4447","402/28905",0.291044776119403,1.89175832105495,7.67744969103643,1.63699357395806e-12,1.15717256861346e-09,7.48613435576142e-10,"Acsl3/Actn2/Actr3/Adcy6/Akap5/Akt1/Ank1/Anxa2/Appl1/Ar/Arfrp1/Arhgap44/Arl3/Atp2b4/Bcl2l1/Blzf1/Cacnb2/Cacnb3/Cacng3/Camk2g/Ccdc88a/Cib1/Clip1/Cnih3/Cnst/Dag1/Dpp10/Efr3a/Ehd2/Ehd3/Ehd4/Epha3/Ezr/Flot1/Frmd8/Gorasp1/Gpc4/Gper1/Gpr158/Gpr179/Grin1/Grip1/Gripap1/Ikbkb/Jup/Kcnb1/Kif13a/Lhfpl4/Lrp1/Lypd1/Myl12a/Myo5b/Nbea/Nectin3/Neto1/Nsf/Numb/Optn/P2ry1/Pacs1/Pacsin1/Palm/Pgap2/Pgrmc1/Pias1/Pid1/Pik3r1/Pip5k1a/Ppfia1/Ppil2/Prkci/Prnp/Prph2/Ptch1/Ptpn9/Rab10/Rab11a/Rab13/Rab29/Rab3c/Rabep1/Rack1/Ramp2/Rap2a/Rapgef4/Rapgef6/Rdx/Rhog/Rilpl2/Rock2/S100a10/Scp2/Sec16a/Sesn2/Sirt6/Smurf1/Snap25/Snca/Sqstm1/Stac2/Stx3/Stx4a/Stx8/Stxbp1/Tpbg/Tspan33/Tspan5/Ttc7b/Vil1/Wdr59/Wdr72/Wnk4/Zdhhc2/Zdhhc4/Zdhhc5/Zdhhc7/Zfyve27",117
"GO:0006913","GO:0006913","nucleocytoplasmic transport","107/4447","359/28905",0.298050139275766,1.93729239392085,7.61994356725298,2.88888014673351e-12,1.67082322668351e-09,1.08091113624191e-09,"Aaas/Abra/Akap1/Akap5/Akt1/Appl1/Atxn1/Bach2/Brca1/Cabp1/Casc3/Cchcr1/Cdkn1a/Cdkn1b/Chp1/Cpsf6/Cry2/Ctdspl2/Ddx25/Dnajc27/Dusp16/E2f3/Eny2/Fam53c/Fbxo22/Fgf9/Frat1/Gbp4/Gli3/Gper1/Hhex/Hikeshi/Hnf4a/Hspa9/Ier3/Ifi27/Il6/Ing1/Ipo11/Ipo7/Ipo8/Ipo9/Jup/Kcnq2/Khdrbs1/Kpna3/Kpna4/Kpna6/Lrrk2/Lsg1/Ltv1/Magoh/Mdfic/Mdn1/Nolc1/Npm1/Nsun2/Nup107/Nup133/Nup153/Nup188/Nup35/Nup54/Nup93/Nxf1/Nxt2/Phb2/Pik3r1/Pkd1/Poldip3/Pom121/Prkag1/Prkcd/Prkd1/Ptpn11/Ptpn14/Ptpn5/Rab18/Rab23/Ran/Ranbp17/Ranbp2/Rangap1/Rbm10/Rbm4/Rgs14/Rps15/Sirt6/Sirt7/Smurf1/Sp100/Sqstm1/Stat3/Stk4/Stradb/Tek/Thoc3/Thoc6/Trim28/Trp53/Ube2i/Uhmk1/Xpo5/Xpo6/Xpot/Zc3h11a/Zpr1",107
"GO:0051169","GO:0051169","nuclear transport","107/4447","359/28905",0.298050139275766,1.93729239392085,7.61994356725298,2.88888014673351e-12,1.67082322668351e-09,1.08091113624191e-09,"Aaas/Abra/Akap1/Akap5/Akt1/Appl1/Atxn1/Bach2/Brca1/Cabp1/Casc3/Cchcr1/Cdkn1a/Cdkn1b/Chp1/Cpsf6/Cry2/Ctdspl2/Ddx25/Dnajc27/Dusp16/E2f3/Eny2/Fam53c/Fbxo22/Fgf9/Frat1/Gbp4/Gli3/Gper1/Hhex/Hikeshi/Hnf4a/Hspa9/Ier3/Ifi27/Il6/Ing1/Ipo11/Ipo7/Ipo8/Ipo9/Jup/Kcnq2/Khdrbs1/Kpna3/Kpna4/Kpna6/Lrrk2/Lsg1/Ltv1/Magoh/Mdfic/Mdn1/Nolc1/Npm1/Nsun2/Nup107/Nup133/Nup153/Nup188/Nup35/Nup54/Nup93/Nxf1/Nxt2/Phb2/Pik3r1/Pkd1/Poldip3/Pom121/Prkag1/Prkcd/Prkd1/Ptpn11/Ptpn14/Ptpn5/Rab18/Rab23/Ran/Ranbp17/Ranbp2/Rangap1/Rbm10/Rbm4/Rgs14/Rps15/Sirt6/Sirt7/Smurf1/Sp100/Sqstm1/Stat3/Stk4/Stradb/Tek/Thoc3/Thoc6/Trim28/Trp53/Ube2i/Uhmk1/Xpo5/Xpo6/Xpot/Zc3h11a/Zpr1",107
"GO:0003012","GO:0003012","muscle system process","126/4447","449/28905",0.280623608017817,1.82402190010232,7.50372772616961,3.77346596672357e-12,2.00056587335795e-09,1.29423262542887e-09,"Abcc8/Ace2/Actc1/Actn2/Adora1/Adra1a/Adrb1/Akap1/Akap9/Aldoa/Apbb1/Ar/Atp1a2/Atp2b4/Bin1/Bmp2/Cacna1c/Cacna1g/Cacna2d1/Cacnb2/Calm3/Camk2g/Camta2/Casq1/Cav1/Ccdc78/Cd38/Cdk9/Cflar/Chrnb1/Chrng/Clcn1/Col14a1/Cttn/Dock5/Dsc2/Dsp/Ece1/Edn1/Ehd3/Eno1b/Fbxo32/Fdps/Fkbp1b/Foxo1/Gata6/Glra1/Glrx3/Gper1/Grcc10/Gtf2ird2/Hdac4/Homer1/Htr1d/Htr2a/Igfbp5/Jup/Kcnj8/Kcnn2/Kcnn4/Lck/Mef2c/Met/Mkks/Mtpn/Mybpc1/Myh11/Myh2/Myh3/Myh7/Myh7b/Myl2/Myl4/Myl6b/Mylk2/Myocd/Myom1/Myoz2/Ncf1/Ndufs4/Nedd4l/Nfatc1/Nmu/Nos3/Nppa/Nr4a3/P2rx4/P2ry1/Pak1/Pde5a/Pdlim5/Pik3ca/Prkd1/Prok2/Ptk2/Rap1gds1/Rbm10/Rgs2/Rock2/Scn11a/Scn2b/Scn5a/Shc1/Sirt1/Slc8a1/Slc8a3/Smad1/Smad3/Smad5/Smpd3/Smtn/Stac2/Tacr2/Tbce/Tbx20/Tiam1/Tmod1/Tmod3/Tmod4/Tnni1/Tomm70a/Tpm4/Tshz3/Ttn/Uty/Zdhhc21",126
"GO:1903828","GO:1903828","negative regulation of protein localization","81/4447","246/28905",0.329268292682927,2.1402068810434,7.65813051470458,5.03185487658342e-12,2.46251236344798e-09,1.59308117954989e-09,"Abcc8/Abhd17b/Abhd17c/Actn2/Acvr1c/Akap1/Akt1/Ankrd13a/App/Bcl2l1/Cabp1/Cd200/Cdk9/Chp1/Coro2b/Ctnna1/Cyp51/Derl2/Dmtn/Eny2/Erlec1/Fbxo4/Fkbp1b/Foxo1/Gbp4/Gnao1/Gpm6b/Gripap1/Hnf4a/Il12b/Inpp5e/Kcnb1/Klf7/Leprot/Lrrk2/Lypd1/Madd/Mark3/Mdfic/Mtnr1a/Naca/Ndfip1/Nedd4l/Neo1/Nsfl1c/Numb/Pde3b/Pde8b/Pfkl/Pias4/Pid1/Pim3/Polr1a/Ppfia1/Psmd9/Ptpmt1/Ptpn11/Rab11fip1/Rab11fip3/Rab11fip5/Rab23/Rangap1/Rest/Ripor2/Rock2/Rptor/Rsad2/Sergef/Siah3/Sirt1/Sirt6/Snx33/Sp100/Spi1/Srcin1/Stxbp5l/Sytl4/Ttbk2/Ubac2/Ubxn2b/Wnk4",81
"GO:1901987","GO:1901987","regulation of cell cycle phase transition","125/4447","453/28905",0.275938189845475,1.79356720878872,7.25902820033137,1.5810432168592e-11,7.18471210404162e-09,4.64802930670638e-09,"Abraxas1/Akt1/Anapc11/Anapc15/Anapc5/Ankrd17/Apbb1/App/Appl1/Arid1a/Atp2b4/Atrip/Aurka/Aurkb/Aven/Bcl2/Bcl7c/Bid/Birc5/Brca1/Brca2/Brd4/Bub3/Ccnd3/Cdc14a/Cdc25a/Cdc6/Cdc7/Cdk2/Cdk4/Cdk6/Cdkn1a/Cdkn1b/Cenpf/Cep192/Chek1/Chfr/Chmp4c/Cradd/Creb3l1/Csf1r/Ctc1/Cul3/Dcun1d3/Ddr2/E2f7/Ercc2/Ercc6/Fbxo4/Fem1b/Fhl1/Gjc2/Gnb1l/Ier3/Kank2/Kcnh5/Kif14/Klhl18/Kntc1/Lmnb1/Mad2l1/Mbtps1/Mettl13/Miip/Mnat1/Mos/Mrnip/Mtbp/Muc1/Nek1/Nek10/Nek11/Npm1/Nsun2/Orc1/Ovol1/Paf1/Pbx1/Phb2/Phf10/Pkd1/Plpp2/Ppp2ca/Ppp2r5c/Prap1/Prkdc/Prox1/Psmg2/Ptpn11/Rab11a/Rad17/Rad21/Rad51c/Rcc2/Rdx/Rgcc/Rhno1/Rpa2/Rpl24/Rps6/Rptor/Rrm1/Sass6/Smarcc1/Smarcd1/Spc24/Stil/Stxbp4/Taok2/Taok3/Tert/Tex14/Tm4sf5/Tmod3/Topbp1/Trp53/Uimc1/Usp28/Usp44/Vps4b/Wee1/Zc3h12d/Zfp36l2/Zfp655/Zwint",125
"GO:0006417","GO:0006417","regulation of translation","106/4447","364/28905",0.291208791208791,1.89282440069488,7.3094419040502,1.72913636797598e-11,7.33384371537546e-09,4.74450750792006e-09,"Abcf1/Ajuba/Akt1/Ang/App/Casc3/Cdk4/Cnot10/Cnot6/Cnot8/Cnot9/Cpeb2/Ctif/Cyfip1/Cyp1b1/Dazl/Ddx25/Dhx36/Dnajc1/Eef2/Eef2k/Eif2ak2/Eif2b5/Eif2s1/Eif3k/Eif4ebp2/Eif4g2/Eif4g3/Eif5/Eif5b/Enc1/Ern1/Fxr1/Fxr2/Gemin5/Guf1/Habp4/Igf2bp2/Igf2bp3/Igfbp5/Il6/Inpp5e/Ireb2/Jmjd4/Khdrbs1/Larp1/Larp4/Larp6/Limd1/Lin28a/Magoh/Mettl14/Mettl3/Mettl8/Mknk1/Mrpl13/Nanos1/Nat10/Nmnat2/Nolc1/Npm1/Nsun3/Ogfod1/Otud6b/Pa2g4/Padi6/Paip2/Parp16/Patl2/Pdik1l/Pelo/Per1/Pink1/Piwil2/Pld1/Poldip3/Ppp1ca/Prkch/Prkdc/Ptbp1/Pum2/Pus7/Rack1/Rbm4/Rbm4b/Rbms3/Rgs2/Rida/Rpl10/Rpl38/Rps6kb1/Rps6kb2/Sepsecs/Sesn2/Srp9/Syncrip/Tia1/Trap1/Trim3/Trnau1ap/Trub2/Tyms/Uhmk1/Upf3a/Ythdf1/Zcchc13",106
"GO:0006887","GO:0006887","exocytosis","112/4447","394/28905",0.284263959390863,1.84768377472294,7.2240014597762,2.45828357040768e-11,9.10925171157783e-09,5.89307801126248e-09,"Abr/Anxa2/Ap1g1/Arf1/Atp13a2/Bcl2l1/Cacna1c/Cacna1e/Cacna1g/Cd177/Cdk16/Cftr/Cops5/Coro1a/Cplx4/Cspg5/Dnm1l/Dtnbp1/Erc2/Exoc4/Exoc6/Exoc6b/Fbxl20/Fcgr4/Fes/Fga/Gata1/Gnai2/Gnao1/Hck/Htr1d/Il1rapl1/Il4/Kcnb1/Kcnh1/Kcnq2/Lamp1/Lrrk2/Lyn/Mrgprx2/Ms4a2/Myh10/Myo1f/Myo5b/Nckap1l/Nppa/Nr4a3/Nsf/Orai1/P2ry1/Pak1/Pclo/Pip5k1c/Pou5f1/Ppfia3/Prkcg/Ptgds/Rab10/Rab11a/Rab11fip1/Rab11fip5/Rab13/Rab33b/Rab3c/Rab3gap1/Rab9/Rapgef4/Rasgrp1/Rest/Rims3/S100a10/Scamp1/Scn11a/Scrn1/Smcr8/Smpd3/Snap25/Snap29/Snca/Snf8/Snx19/Spi1/Sptbn2/Srcin1/Stam/Steap3/Stx17/Stx19/Stx3/Stx4a/Stxbp1/Stxbp2/Stxbp3/Stxbp5l/Sv2a/Sv2b/Sv2c/Syt12/Syt17/Syt2/Syt6/Sytl4/Sytl5/Tph1/Txlna/Unc13a/Unc13b/Vamp1/Vps11/Vps18/Vps4b/Zp3",112
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","122/4447","442/28905",0.276018099547511,1.79408661286728,7.1736592119505,2.7051562495175e-11,9.10925171157783e-09,5.89307801126248e-09,"Abcb1b/Abraxas1/Akt1/Anapc11/Anapc15/Anapc5/Ankrd17/App/Appl1/Arid1a/Aurkb/Aven/Bcl2/Bcl7c/Bid/Birc5/Brca1/Brd4/Bub3/Calm3/Camk2g/Ccna2/Ccnb2/Ccnb3/Ccnd3/Ccnf/Cdc14a/Cdc25a/Cdc6/Cdc7/Cdk14/Cdk2/Cdk4/Cdk6/Cdkn1a/Cdkn1b/Cenpf/Cep192/Chek1/Chfr/Chmp4b/Chmp4c/Cradd/Creb3l1/Ctc1/Cul3/Dcun1d3/Ddr2/E2f3/E2f7/Eps8/Ercc2/Fhl1/Gjc2/Id4/Ier3/Kank2/Kcnh5/Kif14/Klhl18/Kntc1/Lmnb1/Mad2l1/Mastl/Mbtps1/Miip/Mnat1/Mrnip/Mtbp/Muc1/Myb/Nek11/Nfatc1/Orc1/Pbx1/Phb2/Phf10/Pias1/Pkd1/Ppp2ca/Ppp2r5c/Ppp6c/Prap1/Prkdc/Psmg2/Rab11a/Rad17/Rad21/Rad51c/Rcc2/Rdx/Rgcc/Rpa2/Rpl24/Rps6/Rps6kb1/Rptor/Rrm1/Sass6/Skp2/Smarcc1/Smarcd1/Smc5/Spc24/Stil/Taok2/Taok3/Tert/Tex14/Tm4sf5/Tmod3/Topbp1/Trp53/Ube2s/Uimc1/Usp44/Vps4b/Wee1/Zc3h12d/Zfp36l2/Zfp655/Zwint",122
